2,19.947916666666668
4,19.895833333333336
8,19.8125
10,19.682291666666668
12,19.651041666666668
14,19.296875
16,19.24479166666667
18,19.09375
23,19.06770833333333
29,18.854166666666664
32,18.697916666666664
34,18.666666666666664
36,18.624999999999996
48,18.515624999999996
51,18.45833333333333
55,18.437499999999996
57,18.34375
62,18.3125
64,18.25
74,18.109374999999993
79,18.05208333333333
84,18.01041666666666
86,17.81770833333333
88,17.38020833333333
90,17.30208333333333
94,17.22395833333333
97,16.30208333333333
110,16.166666666666664
113,16.072916666666664
131,16.036458333333332
137,15.869791666666666
143,15.8125
146,15.630208333333334
148,15.364583333333334
152,15.359374999999998
163,15.333333333333332
166,15.317708333333332
168,15.171875
182,15.046874999999998
191,14.999999999999998
230,14.749999999999998
236,14.692708333333332
240,14.588541666666664
242,14.390624999999996
264,14.34895833333333
266,14.307291666666664
277,14.276041666666664
283,14.078125
303,13.994791666666666
320,13.96875
324,13.953125
327,13.932291666666666
335,13.755208333333334
337,13.71875
341,13.677083333333332
347,13.546875
356,13.421875
394,13.411458333333334
403,13.380208333333334
444,13.322916666666668
452,13.302083333333334
455,13.28125
473,13.197916666666666
481,13.145833333333334
541,13.109375
549,13.062500000000002
597,13.000000000000002
600,12.885416666666668
635,12.869791666666668
647,12.82291666666667
659,12.812500000000004
696,12.79166666666667
708,12.781250000000002
769,12.723958333333334
824,12.713541666666666
861,12.578125
999,12.567708333333334
1068,12.557291666666668
1094,12.531250000000002
1136,12.500000000000002
1176,12.416666666666668
1205,12.406250000000002
1277,12.38541666666667
1412,12.260416666666668
1503,12.218750000000002
1533,12.203125000000002
1563,12.140625000000002
1655,12.083333333333336
1672,12.078125000000002
1720,12.07291666666667
1736,12.052083333333334
1776,12.036458333333334
2022,12.026041666666668
2478,11.984375000000002
2493,11.947916666666668
2652,11.927083333333334
3098,11.869791666666668
3160,11.854166666666668
3590,11.848958333333334
4711,11.833333333333334
5014,11.781250000000002
5048,11.760416666666668
5437,11.744791666666668
5606,11.734375
5629,11.729166666666668
5774,11.71875
5814,11.703125000000002
5878,11.687500000000002
6061,11.682291666666668
6304,11.651041666666668
6344,11.609375000000002
6544,11.609375
6546,11.598958333333334
6572,11.593750000000002
7068,11.583333333333336
7166,11.583333333333334
